пониззя річки Дністер та Дністровський лиман																																	
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору														Знаряддя лову, які включені до договору								Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Оселедець чорноморський Alosa immaculata	Лящ Abramis brama	Сазан Cyprinus carpio	Судак звичайний Sander lucioperca	Карась сріблястий Carassius gibelio	Сом європейський Silurus glanis	Щука звичайна Esox lucius	Білизна звичайна Aspius aspius	Краснопірка Scardinius erythrophthalmus	Рослиноїдні (білий, строкатий товстолоби, їх гібрид) Hypophthalmichthys molitrix Hypophthalmichthys nobilis Ctenopharyngodon idella	Плоскирка  Blicca bjoerkna	Тараня (плітка звичайна)  Rutilus heckelii Rutilus rutilus	Окунь звичайний Perca fluviatilis	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Ятір (крок вічка 30 мм і більше) 	Сітка  (крок вічка 65 мм і більше)	Сітка плавна (крок вічка 65 мм і більше)	Ятір (крок вічка 18 мм)	Закидний невід  (волок) (крок вічка у матні – 30 мм, приводах – 36 мм, крилах – 40 мм)	Сітка ставна (крок вічка 28 мм, але не більше 40 мм)	Сітка плавна (крок вічка 28 мм, але не більше 40 мм)	Сітка (крок вічка від 32 мм до 38 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																													
					Дата	Номер																											
MIN	1	PRD1MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО "РИБОЛОВЕЦЬКИЙ СОЮЗ "УКРРИБЕКСПОРТ", ЄДРПОУ: 36427375	19.02.2024	9/2/2024	PRD1MIN2024-3	1,80	42,998	0,870	3,414	1,024	0,174	34,137	0,035	0,174	0,174	0,070	1,024	0,523	0,768	0,523	0,088	28	28	3	15	0	12	3	9		3	ЯОД 2796 ЯОД 2330 UAK 4261K ЯОД 0371 ЯОД 0277
	1	PRD2MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО "ВИРОБНИЧО-КОМЕРЦІЙНА ФІРМА "МАЯКИ-2007", ЄДРПОУ: 35314033	12.02.2024	2/20/2024	ДД-9/3	1,80	42,998	0,870	3,414	1,024	0,174	34,137	0,035	0,174	0,174	0,070	1,024	0,523	0,768	0,523	0,088	28	28	4	15	0	12	3	9		3	ЯОД 0362 ЯОД 0368
	1	PRD3MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО "РИБОЛОВЕЦЬКИЙ СОЮЗ "УКРРИБЕКСПОРТ", ЄДРПОУ: 36427375	19.02.2024	9/4/2024	PRD3MIN2024-2	1,80	42,998	0,870	3,414	1,024	0,174	34,137	0,035	0,174	0,174	0,070	1,024	0,523	0,768	0,523	0,088	28	28	0	15	0	12	3	9		3	ЯОД 2464 ЯОД 2716
	1	PRD4MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО "ВИРОБНИЧО-КОМЕРЦІЙНА ФІРМА "МАЯКИ-2007", ЄДРПОУ: 35314033	12.02.2024	8/7/2024	PRD4MIN2024-2	1,80	42,998	0,870	3,414	1,024	0,174	34,137	0,035	0,174	0,174	0,070	1,024	0,523	0,768	0,523	0,088	28	28	0	15	0	12	3	9		3	UAK 4261K ЯОД 0371 ЯОД 0277
	1	PRD5MIN2024	СІЛЬСЬКОГОСПОДАРСЬКИЙ ВИРОБНИЧИЙ КООПЕРАТИВ "КРАП ЗАРЯ-2", ЄДРПОУ: 37291825	31.01.2024	7/31/2024	PRD5MIN2024-2	1,80	42,998	0,870	3,414	1,024	0,174	34,137	0,035	0,174	0,174	0,070	1,024	0,523	0,768	0,523	0,088	28	28	0	15	0	12	3	9		3	ЯОД 2806 ЯОД 2807 ЯОД 3134
Всього	5						8,98	214,990	4,350	17,070	5,120	0,870	170,685	0,175	0,870	0,870	0,350	5,120	2,615	3,840	2,615	0,440	140	140	7	75	0	60	15	45		15	
MID	1	PRD1MID2024	ПРИВАТНЕ ПІДПРИЄМСТВО "ДНІСТЕР", ЄДРПОУ: 13896699	29.01.2024	2/8/2024	ДД-1/3	2,92	69,999	1,417	5,557	1,667	0,284	55,572	0,057	0,284	0,284	0,115	1,667	0,851	1,250	0,851	0,143	44	43	4	24	0	22	3	15		5	ЯОД 2739 ЯОД 7040 ЯОД 7038 ЯОД 2691 ЯОД 1031
